,Selection ID,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor
0,16140152,3.4,50.28,5.5,11.55,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.6,6.99,,0.0,ACTIVE,,18.154
2,40031623,9.2,17.07,20.0,5.83,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.86,9.4,5.39,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.92,32.0,9.38,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.18,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,24.0,5.62,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.79,16.5,7.42,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.59,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.32,5.5,11.55,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.6,6.99,,0.0,ACTIVE,,18.154
2,40031623,9.2,21.43,20.0,5.83,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.86,9.4,5.39,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.94,30.0,6.12,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.18,14.5,6.19,,0.0,ACTIVE,,23.513
6,25649970,12.0,6.48,23.0,5.59,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.81,16.5,7.43,,0.0,ACTIVE,,11.052
8,37515934,85.0,8.54,720.0,5.59,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.5,11.55,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.6,6.99,,0.0,ACTIVE,,18.154
2,40031623,9.6,6.65,20.0,5.83,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.4,5.39,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,30.0,6.12,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.19,,0.0,ACTIVE,,23.513
6,25649970,12.0,6.48,23.0,5.59,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.5,7.43,,0.0,ACTIVE,,11.052
8,37515934,85.0,8.53,720.0,5.59,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.5,11.55,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.6,6.99,,0.0,ACTIVE,,18.154
2,40031623,9.6,6.65,20.0,5.83,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.4,5.39,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,30.0,6.12,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.19,,0.0,ACTIVE,,23.513
6,25649970,12.0,6.48,23.0,5.59,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.5,7.43,,0.0,ACTIVE,,11.052
8,37515934,85.0,8.53,720.0,5.59,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.6,6.65,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.4,6.14,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,30.0,6.5,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,12.0,6.48,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,8.53,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.6,6.65,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,8.94,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,12.0,6.48,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,8.53,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.6,6.65,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,8.94,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,12.0,6.48,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,8.53,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.6,6.65,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,8.8,5.41,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,8.94,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,12.0,6.48,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,8.53,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.6,6.65,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,8.8,5.41,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,9.49,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,12.0,6.48,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,8.53,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,8.8,5.41,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
7,9363081,8.0,18.8,16.0,5.69,,0.0,ACTIVE,,11.052
8,37515934,85.0,5.05,720.0,5.61,,0.0,ACTIVE,,0.681
0,16140152,3.4,50.29,5.3,6.38,,0.0,ACTIVE,,23.513
1,38328114,2.92,5.78,4.5,5.86,,0.0,ACTIVE,,18.154
2,40031623,9.2,18.72,20.0,6.26,,0.0,ACTIVE,,7.046
3,42336139,5.1,6.87,9.8,17.48,,0.0,ACTIVE,,3.054
4,23520563,12.0,12.93,27.0,6.01,,0.0,ACTIVE,,3.054
5,21949875,7.2,22.17,14.5,6.75,,0.0,ACTIVE,,23.513
6,25649970,11.5,13.21,22.0,5.04,,0.0,ACTIVE,,9.933
