,Selection ID,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor
0,40251364,4.6,10.92,5.5,8.69,4.6,247.78,ACTIVE,,26.609
1,51002,7.0,56.77,10.0,10.06,7.4,27.77,ACTIVE,,17.698
2,26736824,19.5,10.6,60.0,8.79,,0.0,ACTIVE,,2.692
3,39171337,4.9,27.51,5.1,22.59,5.3,755.8,ACTIVE,,10.014
4,24120463,23.0,38.69,110.0,8.38,,0.0,ACTIVE,,1.284
5,5182409,9.8,5.04,13.0,8.69,,0.0,ACTIVE,,10.014
6,39611683,7.0,17.38,8.0,5.21,6.6,27.8,ACTIVE,,17.698
7,27790488,34.0,7.48,200.0,6.53,,0.0,ACTIVE,,1.284
8,39880770,9.4,8.69,12.0,10.43,12.0,48.66,ACTIVE,,10.014
9,1232383,13.5,6.08,25.0,5.03,15.0,68.45,ACTIVE,,2.692
0,40251364,4.6,10.92,5.4,6.95,4.6,247.78,ACTIVE,,26.609
1,51002,7.0,58.51,10.0,11.8,7.4,27.77,ACTIVE,,17.698
2,26736824,19.5,12.34,55.0,6.36,,0.0,ACTIVE,,2.692
3,39171337,4.9,27.51,5.1,23.44,5.3,755.8,ACTIVE,,10.014
4,24120463,23.0,40.43,110.0,8.38,,0.0,ACTIVE,,1.284
5,5182409,9.8,5.04,13.0,8.69,,0.0,ACTIVE,,10.014
6,39611683,7.0,19.37,8.0,5.21,6.6,27.8,ACTIVE,,17.698
7,27790488,34.0,9.22,200.0,6.53,,0.0,ACTIVE,,1.284
8,39880770,10.0,7.37,12.0,10.81,12.0,48.66,ACTIVE,,10.014
9,1232383,14.5,5.63,23.0,5.43,15.0,68.45,ACTIVE,,2.692
0,40251364,4.6,10.92,5.4,6.95,4.6,247.78,ACTIVE,,26.609
1,51002,7.0,58.51,10.0,11.8,7.4,27.77,ACTIVE,,17.698
2,26736824,19.5,12.34,55.0,6.81,,0.0,ACTIVE,,2.692
3,39171337,4.9,36.04,5.3,59.94,5.1,797.51,ACTIVE,,10.014
4,24120463,23.0,40.43,110.0,8.38,,0.0,ACTIVE,,1.284
5,5182409,9.8,7.17,13.0,8.69,,0.0,ACTIVE,,10.014
6,39611683,7.0,19.37,8.0,5.21,6.6,27.8,ACTIVE,,17.698
7,27790488,34.0,9.22,200.0,6.53,,0.0,ACTIVE,,1.284
8,39880770,10.0,7.37,12.0,10.81,12.0,48.66,ACTIVE,,10.014
9,1232383,14.5,5.63,23.0,7.6,15.0,68.45,ACTIVE,,2.692
0,40251364,4.6,10.92,5.4,6.95,4.6,247.78,ACTIVE,,26.609
1,51002,7.0,58.51,10.0,11.8,7.4,27.77,ACTIVE,,17.698
2,26736824,19.5,12.34,55.0,6.81,,0.0,ACTIVE,,2.692
3,39171337,4.9,36.04,5.3,59.94,5.1,797.51,ACTIVE,,10.014
4,24120463,23.0,40.43,110.0,8.38,,0.0,ACTIVE,,1.284
5,5182409,9.8,7.17,13.0,8.69,,0.0,ACTIVE,,10.014
6,39611683,7.0,19.37,8.0,5.21,6.6,27.8,ACTIVE,,17.698
7,27790488,34.0,9.22,200.0,6.53,,0.0,ACTIVE,,1.284
8,39880770,10.0,7.37,12.0,10.81,12.0,48.66,ACTIVE,,10.014
9,1232383,14.5,5.63,22.0,11.38,15.0,68.45,ACTIVE,,2.692
0,40251364,4.6,10.92,5.4,6.95,4.6,247.78,ACTIVE,,26.609
1,51002,7.0,58.51,10.0,11.8,7.4,27.77,ACTIVE,,17.698
2,26736824,19.5,12.34,55.0,6.81,,0.0,ACTIVE,,2.692
3,39171337,4.9,36.04,5.3,59.94,5.1,797.51,ACTIVE,,10.014
4,24120463,23.0,40.43,110.0,8.38,,0.0,ACTIVE,,1.284
5,5182409,9.8,7.17,13.0,8.69,,0.0,ACTIVE,,10.014
6,39611683,7.0,19.37,8.0,5.21,6.6,27.8,ACTIVE,,17.698
7,27790488,34.0,9.22,200.0,6.53,,0.0,ACTIVE,,1.284
8,39880770,10.0,7.37,12.0,10.81,12.0,48.66,ACTIVE,,10.014
9,1232383,14.5,5.63,21.0,6.88,15.0,68.45,ACTIVE,,2.692
0,40251364,4.6,10.92,5.4,6.95,4.6,247.78,ACTIVE,,26.609
1,51002,7.0,58.51,10.0,11.8,7.4,27.77,ACTIVE,,17.698
2,26736824,19.5,12.34,55.0,6.81,,0.0,ACTIVE,,2.692
3,39171337,4.9,36.04,5.3,59.94,5.1,797.51,ACTIVE,,10.014
4,24120463,26.0,8.69,110.0,8.38,,0.0,ACTIVE,,1.284
5,5182409,9.8,7.17,13.0,8.69,,0.0,ACTIVE,,10.014
6,39611683,7.4,13.9,8.0,5.21,6.6,27.8,ACTIVE,,17.698
7,27790488,34.0,9.22,200.0,6.53,,0.0,ACTIVE,,1.284
8,39880770,10.0,7.37,12.0,10.81,12.0,48.66,ACTIVE,,10.014
9,1232383,14.5,5.63,21.0,6.88,15.0,68.45,ACTIVE,,2.692
0,40251364,4.5,10.74,5.4,7.79,4.6,247.78,ACTIVE,,26.609
1,51002,7.0,58.51,10.0,11.8,7.4,27.77,ACTIVE,,17.698
2,26736824,19.5,12.34,55.0,6.81,,0.0,ACTIVE,,2.692
3,39171337,4.9,6.65,5.3,59.94,5.1,797.51,ACTIVE,,10.014
4,24120463,26.0,8.69,110.0,8.38,,0.0,ACTIVE,,1.284
5,5182409,9.8,7.17,13.0,8.69,,0.0,ACTIVE,,10.014
6,39611683,7.4,13.9,8.0,10.21,6.6,27.8,ACTIVE,,17.698
